Iteration, Model, valeur n, moyenne, val max, val min, difference max-min, ecart type
0, OWA, 5, 67.06210802359081800000,  51.23374879041119,  85.80110734141363, 34.56735855100244, 12.60855324288625008266
1, OWA, 5, 71.16542032802996600000,  57.60483479546882,  88.23393820890465, 30.62910341343583, 10.72856348638231646459
2, OWA, 5, 67.86986414322433800000,  48.09954324615264,  82.99698032562901, 34.89743707947637, 12.27008651013999392536
3, OWA, 5, 78.77734384616752080000,  55.951393821664304,  89.21476622597218, 33.263372404307876, 12.11916244010157433848
4, OWA, 5, 58.33579265318480600000,  44.572826059075055,  69.75698302573043, 25.184156966655375, 8.47211999838081068713
5, OWA, 5, 65.39199283111603000000,  34.03146305813614,  83.21452029105599, 49.18305723291985, 16.82780347116078135068
6, OWA, 5, 69.66879349518089400000,  46.92189966836764,  80.90134038001788, 33.97944071165024, 12.23209263699661959486
7, OWA, 5, 76.96003927496230500000,  50.045863102819865,  87.33432877559524, 37.288465672775375, 13.76899922614292009127
8, OWA, 5, 68.76063809080956400000,  43.8623487810462,  95.8598228913364, 51.9974741102902, 17.07242882779120887510
9, OWA, 5, 67.84599699127692000000,  40.72601073775766,  79.4947172090986, 38.76870647134094, 14.24309571045066039015
10, OWA, 5, 71.51115356045717800000,  51.64308307330291,  90.1219982442916, 38.47891517098869, 13.95085953464007392270
11, OWA, 5, 70.45116837470106920000,  45.706478857028756,  83.97007959259194, 38.263600735563184, 13.35046450908025346979
12, OWA, 5, 73.52295000338561200000,  55.63806003264317,  86.15240898159573, 30.51434894895256, 10.15821271178129647500
13, OWA, 5, 74.73388954404412400000,  43.17901480645936,  97.32204604288587, 54.14303123642651, 17.81450855358422713780
14, OWA, 5, 68.55921723480020000000,  55.77333889063172,  81.425827468576, 25.65248857794428, 8.82669679837206206375
15, OWA, 5, 72.83314938647436000000,  49.31139517026017,  82.49280151802301, 33.18140634776284, 12.22174841487389802065
16, OWA, 5, 63.94746650568843700000,  48.85160277113188,  75.41199649052587, 26.56039371939399, 8.94540612879774996991
17, OWA, 5, 59.20270910521317600000,  38.89332194479875,  81.36094419900462, 42.46762225420587, 15.88707296086127407003
18, OWA, 5, 69.79352926571808920000,  51.541071153723166,  97.00032807596905, 45.459256922245884, 20.53424773033414831637
19, OWA, 5, 64.49235203272546180000,  58.092460000301635,  84.33526225176946, 26.242802251467825, 10.02508598553180443141
20, OWA, 5, 72.08275204724197600000,  56.85014666425304,  91.75218477752463, 34.90203811327159, 12.35652209107746689510
21, OWA, 5, 73.78206870782653100000,  56.648813623650085,  88.33628340046442, 31.687469776814335, 10.40614399893731400820
