n, temps moyen, satisfaction moyenne, satisfaction minimum, satisfaction maximum
10, 0,  7.72088,  4.75539217734,  9.75454874819
50, 0.02,  8.85833,  7.024114648,  9.94691281392
100, 0.07,  9.18897,  7.69339053482,  9.98682579342
500, 7.649,  9.63927,  8.747011081,  9.99636220016
1000, 36.211,  9.74641,  9.17666459274,  9.99687184259
