n, temps moyen, satisfaction moyenne, satisfaction minimum, satisfaction maximum
10, 0.01,  7.72796,  4.74176182521,  9.96351564957
50, 0.07,  8.84517,  6.78105768695,  9.92356713186
100, 0.232,  9.18885,  7.49197691979,  9.97157036076
500, 5.753,  9.6411,  8.73002102804,  9.99599437993
1000, 29.503,  9.74435,  9.05585887587,  9.99740582149

