n, temps moyen, satisfaction moyenne, satisfaction minimum, satisfaction maximum
10, 0,  7.54594,  2.2145607958,  9.99399019448
50, 0.07,  8.88804,  7.06207113841,  9.99290074947
100, 0.217,  9.19281,  7.3077884907,  9.99024030154
500, 5.865,  9.63819,  8.7760247781,  9.99126652499
1000, 31.118,  9.74672,  9.05231022451,  9.99749796639
