n, temps moyen, satisfaction moyenne, satisfaction minimum, satisfaction maximum
10, 0,  7.70815,  4.9062645177,  9.89786304369
50, 0.07,  8.91362,  6.4535734515,  9.89702461346
100, 0.214,  9.20493,  7.59674706868,  9.97830245845
500, 5.797,  9.63621,  8.77455301591,  9.99357754372
1000, 29.662,  9.74561,  8.99696414579,  9.99895612678
