Iteration, Modele, valeur n, moyenne, val max, val min, difference max-min, ecart type
0, P0, 5, 64.84060373626919300000,  53.10842621437228,  75.41655720093044, 22.30813098655816, 8.85024186791391208499
1, P0, 5, 77.58143015834976800000,  64.43582734708153,  89.54381895866234, 25.10799161158081, 9.33092871761499956112
2, P0, 5, 76.37494608976271300000,  46.104456285557575,  92.07365668426094, 45.969200398703365, 15.86800605948375944063
3, P0, 5, 63.75709105587513320000,  41.02063658487967,  81.9840986226738, 40.96346203779413, 13.33817236722966609081
4, P0, 5, 68.79743501720534880000,  36.89747849275434,  93.99453940759696, 57.09706091484262, 22.72426185060491348951
5, P0, 5, 69.18462619863777680000,  53.183445276760324,  87.55924416326918, 34.375798886508856, 12.59261519653694603857
6, P0, 5, 62.66057564636266400000,  36.72848000483707,  84.23031639987764, 47.50183639504057, 17.11069569643943906655
7, P0, 5, 60.59471654166501000000,  35.98046247642958,  79.13316347430346, 43.15270099787388, 15.11200389447337886464
8, P0, 5, 75.33253608759393120000,  61.626219423705066,  91.91759866567094, 30.291379241965874, 13.69838953268462238214
9, P0, 5, 75.38018527271429600000,  50.24359391842193,  96.5170757786141, 46.27348186019217, 18.78222058416142427924
10, P0, 5, 74.78872867619459120000,  55.823776059602736,  97.98631916401051, 42.162543104407774, 13.88315008633742789116
11, P0, 5, 63.43498134416971000000,  48.749300369580965,  96.73171775798012, 47.982417388399155, 17.44637250391447358348
12, P0, 5, 68.82861778417491000000,  29.10318316106673,  96.60785452743835, 67.50467136637162, 23.11797166384998261321
13, P0, 5, 74.97418336720943040000,  31.266041404074972,  97.84668772358367, 66.580646319508698, 23.45629016311735255993
14, P0, 5, 67.17374084321438680000,  51.951272653666514,  83.6246464750005, 31.673373821333986, 10.83814383082339094522
15, P0, 5, 68.95627198959238600000,  35.29156087429966,  80.70677216990505, 45.41521129560539, 16.93142531477742747278
16, P0, 5, 69.07835601741453520000,  61.4345739483239,  82.06251323579765, 20.62793928747375, 7.57433540464070403050
17, P0, 5, 74.07488773089401400000,  41.353051219495754,  93.40031931510731, 52.047268095611556, 20.41089949436524310719
18, P0, 5, 70.28009316576662600000,  41.85849480828463,  81.5616895862687, 39.70319477798407, 14.60157327741241780894
19, P0, 5, 68.73242453205986160000,  31.416862072167888,  85.64187247348943, 54.225010401321542, 19.45644039567891666647
20, P0, 5, 61.19197539590321800000,  33.80098568779236,  79.96173335592574, 46.16074766813338, 17.62574517683323435734
21, P0, 5, 76.84242507687032400000,  53.4462162792324,  94.52424308343029, 41.07802680419789, 13.98025693975840373045
22, P0, 5, 67.57776962253561700000,  37.138897927700235,  89.60328110762927, 52.464383179929035, 18.78583544597565111075
23, P0, 5, 76.79438331100484200000,  55.96116282664462,  86.08932485941531, 30.12816203277069, 12.08660607304458229659
24, P0, 5, 65.71395641426371720000,  41.624307828091396,  89.15482595562716, 47.530518127535764, 16.77237783312252388840
25, P0, 5, 74.01894601056810540000,  27.415777148284747,  96.40283418585526, 68.987057037570513, 25.03495451635858072576
26, P0, 5, 77.14658045942701200000,  45.50608716045751,  98.98118061373376, 53.47509345327625, 18.54183032748297812335
27, P0, 5, 74.64380945914252120000,  61.39845900890917,  94.7867922782693, 33.38833326936013, 12.53820031174893554144
28, P0, 5, 64.13414846660492100000,  47.26797176431779,  87.0121834997357, 39.74421173541791, 13.43092777656151528846
29, P0, 5, 75.39369417569291000000,  35.89244719146627,  96.49061696262322, 60.59816977115695, 20.90258410903568020226
30, P0, 5, 63.75617680606191680000,  42.191124595325974,  97.48064540795158, 55.289520812625606, 18.38507370693354171369
31, P0, 5, 69.04229769999829200000,  50.58125151481882,  83.96294510198157, 33.38169358716275, 12.18611847877343155189
32, P0, 5, 58.89849264476335480000,  33.28475088431341,  85.46647358342244, 52.18172269910903, 19.31219445738326957971
33, P0, 5, 81.25940181962000000000,  53.74156159647714,  91.94601250569985, 38.20445090922271, 13.93475356111269387395
34, P0, 5, 66.15150311302114080000,  48.25750605779936,  85.90789420494278, 37.65038814714342, 12.38438633546612366133
35, P0, 5, 69.20787099520544000000,  63.6799939519684,  75.13160424183366, 11.45161028986526, 4.70555745384397355300
36, P0, 5, 77.19184693860178520000,  55.983549427863046,  97.97422051532165, 41.990671087458604, 15.30052432214734471027
37, P0, 5, 72.83021656091480800000,  50.63840782617093,  96.72910210068602, 46.09069427451509, 14.73189039388568859160
38, P0, 5, 65.53691496010307000000,  34.48422288000312,  85.20335210394796, 50.71912922394484, 18.30799522053433027735
39, P0, 5, 71.79470498610568400000,  59.65028660190872,  84.47203996748567, 24.82175336557695, 8.56114847673676817889
40, P0, 5, 62.01267464474787600000,  47.64315622510132,  79.7260225749229, 32.08286634982158, 12.42877452050519618170
41, P0, 5, 54.46585271175844680000,  40.33750019598641,  67.72002438761731, 27.38252419163090, 8.98889415903291522143
42, P0, 5, 69.22884737670743400000,  54.27236470992102,  80.4265253531981, 26.15416064327708, 8.95175539891924303781
43, P0, 5, 59.40821820990471400000,  36.75870166507058,  81.82415682110442, 45.06545515603384, 15.53047460386134519541
44, P0, 5, 70.34011643619722400000,  51.05455245657385,  85.34501501317182, 34.29046255659797, 12.16214387591381750774
45, P0, 5, 69.99505746698976200000,  39.22740133965943,  97.3711927155111, 58.14379137585167, 19.85389397375529742876
46, P0, 5, 74.21438790260067400000,  54.57807740916611,  89.39804209428527, 34.81996468511916, 12.42659283174243229060
47, P0, 5, 66.47710621090210520000,  37.12195182907988,  89.53732440078291, 52.41537257170303, 18.42910201437763704049
48, P0, 5, 59.86146610734729780000,  47.532564099452145,  76.88974707221739, 29.357182972765245, 11.03815521345331532830
49, P0, 5, 68.55850348560316000000,  54.45915989409178,  77.0849680445406, 22.62580815044882, 8.24550102234010803232
0, P1, 5, 68.20489055220180900000,  61.579934197331895,  75.24140081788032, 13.661466620548425, 4.89200720888213744012
1, P1, 5, 54.44335954132868600000,  43.83022214484437,  69.5752593668054, 25.74503722196103, 9.26989104245387573699
2, P1, 5, 62.82759933576769280000,  46.202582150124954,  82.88478086193396, 36.682198711809006, 13.58497209191792017293
3, P1, 5, 75.43497347592385200000,  67.6716798883366,  90.10823632417845, 22.43655643584185, 8.17199209687135030542
4, P1, 5, 65.78149725139334100000,  47.69059667042761,  87.40358903785818, 39.71299236743057, 15.67807655200605864226
5, P1, 5, 71.96009104075498520000,  61.383339832078256,  83.54476232919616, 22.161422497117904, 8.82553798088599098732
6, P1, 5, 66.03610851825996720000,  53.17472881863347,  97.95034918205873, 44.77562036342526, 16.77395957396652735269
7, P1, 5, 69.26413359645118100000,  47.888179597551975,  84.86191646420473, 36.973736866652755, 14.63184878799799281034
8, P1, 5, 54.08588756659474400000,  45.57992668902057,  62.16870253551171, 16.58877584649114, 5.45534520649486474336
9, P1, 5, 61.79696565902461680000,  50.40187633818501,  91.127194626018, 40.72531828783299, 14.98711700065080579600
10, P1, 5, 67.86855199372514700000,  61.7718426716825,  78.92995306079409, 17.15811038911159, 6.09952276235204189953
11, P1, 5, 62.31511204843355280000,  56.14071333455921,  72.20849431036896, 16.06778097580975, 5.33250437868804644674
12, P1, 5, 66.83957083626503680000,  52.410096575787804,  81.1312531857536, 28.721156609965796, 9.97619758049205057564
13, P1, 5, 74.69983287867245200000,  63.81811218908943,  84.19218475092194, 20.37407256183251, 7.17052566038969547413
14, P1, 5, 69.13859545970873600000,  50.00132507024361,  89.98733607611824, 39.98601100587463, 12.77380744362010255436
15, P1, 5, 68.68043942609833600000,  59.48805325796988,  82.44276513713093, 22.95471187916105, 8.05756929901982354902
16, P1, 5, 73.23404062776182600000,  53.99696476773562,  91.75649099035445, 37.75952622261883, 13.34520361976904625051
17, P1, 5, 75.11716201711707200000,  63.26196312174567,  94.0366020866585, 30.77463896491283, 10.54446349019483449072
18, P1, 5, 71.78394083368882200000,  51.10018671554056,  89.04925342396938, 37.94906670842882, 14.66932225356337284709
19, P1, 5, 63.90429161464477200000,  51.06065989873362,  90.31769553757206, 39.25703563883844, 13.68044538887408036229
20, P1, 5, 58.24682502408144480000,  45.85021310413947,  72.64104919143065, 26.79083608729118, 8.85802108812610238837
21, P1, 5, 70.00029676187382800000,  50.621888045557135,  85.61943562420034, 34.997547578643205, 12.25764582885667239842
22, P1, 5, 59.52676977889541880000,  46.94043771479867,  73.84133799376983, 26.90090027897116, 9.07446537117731431490
23, P1, 5, 59.10203698639205600000,  48.46691141981627,  75.92337159562622, 27.45646017580995, 9.93557971138534385976
24, P1, 5, 59.31170684377077080000,  43.351626116771044,  73.69823826696327, 30.346612150192226, 11.69719790084687779175
25, P1, 5, 62.57349488564708260000,  60.277926959148125,  66.44291550717638, 6.164988548028255, 2.37566110497301533515
26, P1, 5, 70.79462138253838920000,  53.410150753823196,  94.14857603246266, 40.738425278639464, 15.19798770337190481488
27, P1, 5, 65.01147101749038800000,  51.09301871879467,  86.44503185853598, 35.35201313974131, 12.13990323990161053743
28, P1, 5, 73.54204354735073920000,  57.86867276508583,  91.66715661467278, 33.79848384958695, 14.13785909631766017138
29, P1, 5, 68.99803790618243000000,  48.60807468492233,  93.72701269330807, 45.11893800838574, 14.83712100317696628721
30, P1, 5, 68.48005938672859300000,  52.10549325110125,  83.109697460192, 31.00420420909075, 13.07532581072062780524
31, P1, 5, 81.22246048101472600000,  70.95696110174896,  88.16337776792639, 17.20641666617743, 6.48647023441553140513
32, P1, 5, 70.25062979632557000000,  40.28106682512719,  85.95320719334752, 45.67214036822033, 16.74711974035549150526
33, P1, 5, 66.29572838546345480000,  54.937750581512844,  88.3358280754302, 33.398077493917356, 11.55710436199709142676
34, P1, 5, 58.69489948936650720000,  49.64076540232753,  74.68220445358489, 25.04143905125736, 9.66210389517709208490
35, P1, 5, 61.24223994736514280000,  52.21388217205754,  67.0067359192647, 14.79285374720716, 5.27786127011724073573
36, P1, 5, 70.30077188977873700000,  57.037358410093155,  80.69876625403447, 23.661407843941315, 8.55324591060564324164
37, P1, 5, 73.68908694706863720000,  55.71767316143887,  91.22822820813197, 35.51055504669310, 14.51163818612465605783
38, P1, 5, 61.52544117725211380000,  46.783159971326825,  76.83537710422675, 30.052217132899925, 10.35981845313162574876
39, P1, 5, 66.93338537413483280000,  53.09818072009848,  96.00792587130076, 42.90974515120228, 15.51036273775878534185
40, P1, 5, 62.38018620507971080000,  52.06460116794463,  69.48622028948823, 17.42161912154360, 5.86078421033379419215
41, P1, 5, 66.01210508040735920000,  57.18999683473178,  75.61216082967702, 18.42216399494524, 5.98773467528503052763
42, P1, 5, 68.15021891064998500000,  51.089368931078525,  96.81421324451269, 45.724844313434165, 16.06385365740651237524
43, P1, 5, 43.41583588743456520000,  34.3681921825292,  55.697543517059586, 21.329351334530386, 6.99514158104399558155
44, P1, 5, 70.38280236553004200000,  58.11095359758796,  82.51137613877158, 24.40042254118362, 9.29623805260189971109
45, P1, 5, 57.86508372441700820000,  35.5728313806608,  83.03897464809873, 47.46614326743793, 18.74001595462514030190
46, P1, 5, 67.93871127101051200000,  56.4349890498033,  79.07818361624228, 22.64319456643898, 7.80567519027723975339
47, P1, 5, 67.26345252642760400000,  58.49219422845572,  79.2947077248505, 20.80251349639478, 6.77813064552964532025
48, P1, 5, 70.76141693859267500000,  54.895768754051105,  88.98303733287996, 34.087268578828855, 12.39890260216424072940
49, P1, 5, 73.24628367587400800000,  64.41719316123026,  78.94138761601616, 14.52419445478590, 4.78577421328654835559
