Iteration, Model, valeur n, moyenne, val max, val min, difference max-min, ecart type
0, OWA, 10, 74.49413883515021340000,  62.999114295695954,  89.65806481939075, 26.658950523694796, 7.35573097090182507175
1, OWA, 10, 78.95437478203446100000,  60.81045747568345,  96.43177475956679, 35.62131728388334, 10.81206561538898170005
2, OWA, 10, 82.80327025206735600000,  66.98940971832982,  93.11006654366498, 26.12065682533516, 6.96201015868440184350
3, OWA, 10, 79.49705515928995500000,  66.93833929989377,  92.02168946367453, 25.08335016378076, 7.80583856674603945223
4, OWA, 10, 71.33505031105205100000,  52.29998576107484,  86.18713331677418, 33.88714755569934, 9.82245417398435310476
5, OWA, 10, 75.80440136371426160000,  59.82980348786861,  88.88861085906225, 29.05880737119364, 9.09000641427906489424
6, OWA, 10, 70.82651559580176200000,  58.713681913510676,  86.99021524312212, 28.276533329611444, 8.49862526378317754418
7, OWA, 10, 75.64201731609568800000,  60.65567182524858,  86.49665877122034, 25.84098694597176, 8.23743802375091306185
8, OWA, 10, 77.68314667496907850000,  55.802344387357095,  94.76885031392531, 38.966505926568215, 10.46692772187732652461
9, OWA, 10, 80.12136037265107100000,  65.44852662516448,  95.51906324178844, 30.07053661662396, 9.26473038909099776040
10, OWA, 10, 77.71669912135149760000,  57.344709607440976,  94.78370277280152, 37.438993165360544, 13.53179913595776539289
11, OWA, 10, 73.00832348940777840000,  51.236604975398784,  83.67094454056074, 32.434339565161956, 10.86081050061499903061
12, OWA, 10, 76.94242316786644560000,  42.331483154160296,  98.219217791409, 55.887734637248704, 15.07337017287265591399
13, OWA, 10, 82.28637968227298400000,  67.11624089765036,  91.59566189496555, 24.47942099731519, 8.51759253671518786200
14, OWA, 10, 74.69455212820508500000,  57.67552119795187,  89.29090153319892, 31.61538033524705, 9.27558127964719083721
15, OWA, 10, 80.62362417191092200000,  56.44545139253152,  90.43032764525802, 33.98487625272650, 11.20401846033917140462
16, OWA, 10, 78.34408040395442800000,  64.09092127170308,  91.47065314130668, 27.37973186960360, 7.68605512819544524853
17, OWA, 10, 78.72997971177596000000,  65.12745561424673,  91.51375168594734, 26.38629607170061, 7.78085046143172171339
18, OWA, 10, 71.08963306407987100000,  52.57665842757322,  88.86010380745013, 36.28344537987691, 10.03279357537512928373
19, OWA, 10, 72.94970338976777700000,  57.84201543669825,  91.44155940861796, 33.59954397191971, 8.47499009575224847554
20, OWA, 10, 78.45102241954201900000,  71.01429846118886,  87.62801175615677, 16.61371329496791, 5.32994959456943848229
21, OWA, 10, 75.14365850110662200000,  62.81278719817789,  88.45791130502279, 25.64512410684490, 7.07244276191435995243
22, OWA, 10, 76.80521265410443500000,  54.01066486542479,  96.0023999143358, 41.99173504891101, 12.89196966539078491752
23, OWA, 10, 78.29756130484020800000,  49.8711328890771,  91.08274186207234, 41.21160897299524, 12.62195374212500234157
24, OWA, 10, 78.07919758616060300000,  68.4638526766283,  94.76208468512012, 26.29823200849182, 8.02879143318582060088
25, OWA, 10, 80.29679899867184000000,  52.48272545876998,  89.26525845339259, 36.78253299462261, 9.93967723621581192677
26, OWA, 10, 79.73456764488114100000,  59.26595978055759,  93.66452724498993, 34.39856746443234, 8.78192748156910893552
27, OWA, 10, 75.12325654108113450000,  55.664036171519136,  98.35743616141949, 42.693399989900354, 13.57044218778821695978
28, OWA, 10, 72.83395807503853800000,  57.80825161066469,  92.99741328981459, 35.18916167914990, 11.78393523352786253692
29, OWA, 10, 73.74213607700033400000,  59.58426303936285,  87.08539611129679, 27.50113307193394, 8.47378163687189417119
30, OWA, 10, 79.23117379098088800000,  59.90135400762019,  94.7374841074349, 34.83613009981471, 11.21367302058492558535
31, OWA, 10, 75.19188976173241040000,  63.834571205117754,  95.07727717991186, 31.242705974794106, 8.59719125878335114393
32, OWA, 10, 75.31720842057729800000,  57.71543853412834,  90.52080866271471, 32.80537012858637, 10.75501550605909628873
33, OWA, 10, 76.38627348577600100000,  56.61290797348321,  97.22372794474178, 40.61081997125857, 11.41042491348386474359
34, OWA, 10, 77.95697204411073600000,  64.47643781574968,  87.27245997772175, 22.79602216197207, 6.27627966208743259100
35, OWA, 10, 74.13689834099998040000,  53.33757299356864,  85.89284999742762, 32.55527700385898, 9.97759623548022070134
36, OWA, 10, 73.59844451682006150000,  49.341115029967995,  85.75908782171688, 36.417972791748885, 9.93232781418617320274
37, OWA, 10, 79.97824377876598300000,  68.44755495857304,  98.37418698852845, 29.92663202995541, 8.74189195882856765983
38, OWA, 10, 69.62590637863288350000,  55.9813716466021,  85.78481727656552, 29.80344562996342, 9.28424369023189764194
39, OWA, 10, 77.29652705335289650000,  58.543248537955165,  94.08861916287901, 35.545370624923845, 12.07426286676045721552
40, OWA, 10, 78.06295597788168950000,  56.907354716100485,  89.68050769201447, 32.773152975913985, 10.61461944699098196694
41, OWA, 10, 76.91543963877646950000,  55.45234557103609,  91.09330465655584, 35.64095908551975, 11.04259783864987195329
42, OWA, 10, 79.47819385477044840000,  59.806000417150344,  95.31901694731776, 35.513016530167416, 10.47758657030935043173
43, OWA, 10, 72.29124339784228500000,  59.97390564286534,  86.00317402555322, 26.02926838268788, 8.49346975081432804772
44, OWA, 10, 76.70183862113334800000,  52.44698605343806,  91.9330860372173, 39.48609998377924, 12.11206744128248424228
45, OWA, 10, 77.59629967678099200000,  69.3112122870429,  88.73285603744313, 19.42164375040023, 5.12271606467522355644
46, OWA, 10, 72.58899686682927100000,  32.49876893049054,  89.93736121300054, 57.43859228251000, 15.62053598581639373602
47, OWA, 10, 77.77157948981724960000,  63.633153609494066,  94.61813679487608, 30.984983185382014, 9.28544042157403528815
48, OWA, 10, 66.88845309316645750000,  52.5505469766699,  78.37818483962165, 25.82763786295175, 7.76954468459652526382
49, OWA, 10, 73.91580034139274260000,  62.604067289392276,  87.61328029080487, 25.009213001412594, 7.61209684412755963918
